date,transaction_reference,age,account,old_balance,new_balance,amount,type,message
2025-05-01,1000000001,50,oa,0.0,167892.11,167892.11,inflow,oa-Initial Balance of oa-167892.11
2025-05-01,1000000002,50,sa,0.0,253163.35,253163.35,inflow,sa-Initial Balance of sa-253163.35
2025-05-01,1000000003,50,ma,0.0,72952.37,72952.37,inflow,ma-Initial Balance of ma-72952.37
2025-05-01,1000000004,50,loan,0.0,251101.0,251101.0,inflow,loan-Initial Balance of loan-251101.00
2025-05-31,1000000006,50,oa,167892.11,166204.72,-1687.39,outflow,oa-Loan payment from OA Account at year 1 age 50--1687.39
2025-05-31,1000000007,50,loan,251101.0,249413.61,-1687.39,outflow,loan-Loan payment from OA Account at year 1 age 50--1687.39
2025-05-31,1000000008,50,oa,166204.72,167906.93,1702.21,inflow,oa-Allocation for OA at age 50-1702.21
2025-05-31,1000000009,50,sa,253163.35,253607.18,443.83,inflow,sa-Allocation for SA at age 50-443.83
2025-05-31,1000000010,50,ma,72952.37,73544.33,591.96,inflow,ma-Allocation for MA at age 50-591.96
2025-06-30,1000000012,50,oa,167906.93,166219.54,-1687.39,outflow,oa-Loan payment from OA Account at year 2 age 50--1687.39
2025-06-30,1000000013,50,loan,249413.61,247726.22,-1687.39,outflow,loan-Loan payment from OA Account at year 2 age 50--1687.39
2025-06-30,1000000014,50,oa,166219.54,167921.75,1702.21,inflow,oa-Allocation for OA at age 50-1702.21
2025-06-30,1000000015,50,sa,253607.18,254051.01,443.83,inflow,sa-Allocation for SA at age 50-443.83
2025-06-30,1000000016,50,ma,73544.33,74136.29,591.96,inflow,ma-Allocation for MA at age 50-591.96
2025-07-31,1000000018,51,oa,167921.75,166150.76,-1770.99,outflow,oa-Loan payment from OA Account at year 3 age 51--1770.99
2025-07-31,1000000019,51,loan,247726.22,245955.23,-1770.99,outflow,loan-Loan payment from OA Account at year 3 age 51--1770.99
2025-07-31,1000000020,51,oa,166150.76,167852.97,1702.21,inflow,oa-Allocation for OA at age 51-1702.21
2025-07-31,1000000021,51,sa,254051.01,254494.84,443.83,inflow,sa-Allocation for SA at age 51-443.83
2025-07-31,1000000022,51,ma,74136.29,74728.25,591.96,inflow,ma-Allocation for MA at age 51-591.96
2025-08-31,1000000024,51,oa,167852.97,166035.48,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 51--1817.49"
2025-08-31,1000000025,51,loan,245955.23,244137.74,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 51--1817.49"
2025-08-31,1000000026,51,oa,166035.48,167737.69,1702.21,inflow,oa-Allocation for OA at age 51-1702.21
2025-08-31,1000000027,51,sa,254494.84,254938.67,443.83,inflow,sa-Allocation for SA at age 51-443.83
2025-08-31,1000000028,51,ma,74728.25,75320.21,591.96,inflow,ma-Allocation for MA at age 51-591.96
2025-09-30,1000000030,51,oa,167737.69,165920.2,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 51--1817.49"
2025-09-30,1000000031,51,loan,244137.74,242320.25,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 51--1817.49"
2025-09-30,1000000032,51,oa,165920.2,167622.41,1702.21,inflow,oa-Allocation for OA at age 51-1702.21
2025-09-30,1000000033,51,sa,254938.67,255382.5,443.83,inflow,sa-Allocation for SA at age 51-443.83
2025-09-30,1000000034,51,ma,75320.21,75912.17,591.96,inflow,ma-Allocation for MA at age 51-591.96
2025-10-31,1000000036,51,oa,167622.41,165804.92,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 51--1817.49"
2025-10-31,1000000037,51,loan,242320.25,240502.76,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 51--1817.49"
2025-10-31,1000000038,51,oa,165804.92,167507.13,1702.21,inflow,oa-Allocation for OA at age 51-1702.21
2025-10-31,1000000039,51,sa,255382.5,255826.33,443.83,inflow,sa-Allocation for SA at age 51-443.83
2025-10-31,1000000040,51,ma,75912.17,76504.13,591.96,inflow,ma-Allocation for MA at age 51-591.96
2025-11-30,1000000042,51,oa,167507.13,165689.64,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 51--1817.49"
2025-11-30,1000000043,51,loan,240502.76,238685.27,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 51--1817.49"
2025-11-30,1000000044,51,oa,165689.64,167391.85,1702.21,inflow,oa-Allocation for OA at age 51-1702.21
2025-11-30,1000000045,51,sa,255826.33,256270.16,443.83,inflow,sa-Allocation for SA at age 51-443.83
